t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0345249	0.0	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
FBtr0301296	7.731771000000001	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
FBtr0078893	52.736743999999995	1.7871400000000002	-5.9215599999999995	2.37644	3.0112099999999997	-0.10133099999999999
FBtr0078859	92.08078	-1.73816	-5.138240000000001	-1.1864299999999999	4.85971	-0.101587
FBtr0305313	0.0	-1.73816	-5.138240000000001	-1.1864299999999999	4.85971	-0.101587
FBtr0336465	0.0	-4.202719999999999	-3.30519	-0.21620100000000003	2.2572	-0.0968576
FBtr0078860	77.675377	6.3611	-6.48477	0.35825300000000004	13.419	-0.08600060000000001
FBtr0336462	82.21021999999999	10.927	-7.7827399999999995	2.5604299999999998	18.128	-0.113023
FBtr0078861	0.86951	6.621569999999999	-6.9015699999999995	0.631929	20.8234	-0.0792209
FBtr0308820	0.0	11.0018	-7.52855	6.4403	25.3206	-0.0931104
FBtr0308849	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308850	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308851	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308852	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308855	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308856	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308857	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0308858	0.0	9.262210000000001	-18.7623	-5.90131	6.7599	-0.144098
FBtr0336464	0.0	17.1287	-9.2977	-4.3233	19.0649	-0.12403099999999999
FBtr0336463	0.0	2.33186	-1.6751900000000002	-2.76092	0.0107943	-0.064714
FBtr0091931	0.0	4.65247	-1.2862799999999999	-3.19935	-1.42086	-0.0525063
FBtr0308853	0.0	-0.572684	-7.32788	-7.47244	0.09941710000000001	-0.10765799999999999
FBtr0308854	0.0	-0.572684	-7.32788	-7.47244	0.09941710000000001	-0.10765799999999999
FBtr0078892	242.192657	-2.09781	-11.1796	10.5306	-0.025681299999999997	-0.12266800000000001
FBtr0343891	0.0	-0.00258761	-1.36561	-3.8351300000000004	1.7860099999999999	-0.0634443
FBtr0333922	0.0	-2.8639900000000003	-3.28005	-4.39912	1.62375	-0.06707189999999999
FBtr0078891	0.0	-2.64616	-1.7848700000000002	-0.47797700000000004	0.824656	-0.07567339999999999
FBtr0305133	0.0	-2.64616	-1.7848700000000002	-0.47797700000000004	0.824656	-0.07567339999999999
FBtr0302613	3.7871339999999996	-1.9787400000000002	-1.43547	-2.21064	2.68565	-0.0390199
FBtr0302616	0.0	-1.9787400000000002	-1.43547	-2.21064	2.68565	-0.0390199
FBtr0089950	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0089951	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0089949	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0089952	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0089953	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0332445	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0306654	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0089955	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0302614	92.302238	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0302615	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0332446	0.0	-1.97013	-2.66273	-3.0772	2.7732900000000003	-0.05308430000000001
FBtr0334899	0.0	5.0779	-1.56007	0.27858	8.78462	-0.0331211
FBtr0334965	0.0	3.4087199999999998	-1.67202	-1.12294	6.30583	-0.041844599999999996
FBtr0345143	0.0	3.4087199999999998	-1.67202	-1.12294	6.30583	-0.041844599999999996
FBtr0334966	0.0	3.4087199999999998	-1.67202	-1.12294	6.30583	-0.041844599999999996
FBtr0334964	0.0	3.4087199999999998	-1.67202	-1.12294	6.30583	-0.041844599999999996
FBtr0334905	0.0	2.17753	-1.3327200000000001	-3.74555	1.6242	-0.0549502
FBtr0078868	80.044975	-2.45911	-5.58783	4.49412	4.67994	-0.110509
